price;title;category_id;base_price;initial_quantity;condition;date_created;city;state;country
150000;Chromecast Tv Gen 4 - 4k Hdr. Wifi+bth+c. Remoto Sin Muñeco;MLA352001;150000;2;new;2025-02-14T14:44:07.791Z;Belgrano;Capital Federal;Argentina
110238.0;Xiaomi Mi Tv Stick 4k Android Google Tv Color Negro Tipo De Control Remoto De Voz;MLA352001;110238.0;30;new;2023-09-19T18:32:19.000Z;Capital Federal;Capital Federal;Argentina
174999;Google Chromecast 4k Hd (4ta Generacion) Blanco+control;MLA352001;174999;49;new;2024-12-27T17:32:54.995Z;Barracas;Capital Federal;Argentina
110674;Smart Tv Stick Xiaomi 4k De 2da Generación Android Tv Negro;MLA352001;110674;43;new;2024-08-12T19:14:05.054Z;Palermo;Capital Federal;Argentina
119990;Xiaomi Mi Tv Stick Full Hd Chromecast Android Amazon Netflix;MLA352001;119990;85;new;2022-02-22T14:37:26.000Z;Balvanera;Capital Federal;Argentina
87000;Smart Tv Onn Uhd Streaming 4k Desbloqueado Con Cargador;MLA352001;87000;8;new;2025-03-18T18:05:09.533Z;Villa Crespo;Capital Federal;Argentina
155000;Google Chromecast 4k Chromecast With Google Tv Ga01919-us De;MLA352001;155000;138;new;2025-02-28T15:38:56.140Z;Núñez;Capital Federal;Argentina
225999;Google Streamer 4k Chromecast Hdr 2024 Tv Streaming;MLA352001;225999;14;new;2025-03-06T16:49:06.731Z;San Cristóbal;Capital Federal;Argentina
99900.0;Mi Tv Stick Xiaomi 4k Mdz-27-eu 2.a Generación Color Negro;MLA352001;99900.0;154;new;2025-03-18T13:36:39.262Z;Adrogué;Buenos Aires;Argentina
144999;Google Chromecast Google Tv De Voz 4k 8gb Control Sky;MLA352001;144999;45;new;2025-01-06T17:51:37.514Z;San Cristóbal;Capital Federal;Argentina
232990;Google Tv Streamer 4k Smart Netflix Hdr 2024 Androidtv;MLA352001;232990;10;new;2025-02-25T19:24:14.507Z;Balvanera;Capital Federal;Argentina
99999;Xiaomi Mi Tv Stick Full Hd 8gb Con Control X Voz Chromecast;MLA352001;99999;514;new;2020-08-21T14:54:45.000Z;Villa Crespo;Capital Federal;Argentina
179995.0;Chromecast Google Tv  4a Generación 4k 8gb Snow Fuente Pila;MLA352001;179995.0;59;new;2025-03-15T13:21:08.134Z;San Nicolás;Capital Federal;Argentina
62999;Tv Box 4k Uhd Convertí Tu Televisor En Smart!! Magictv Negro Estándar;MLA352001;62999;5;new;2025-03-13T23:19:33.057Z;Mar del Plata;Buenos Aires;Argentina
